node_id,unique_id,name,ion_class,copies
1318,149174_ichan2-ID-1,149174_ichan2-ID-1,K,1
1322,128559_HH2-ID-1,128559_HH2-ID-1,K,3
1335,53569_HH2new-ID-1,53569_HH2new-ID-1,K,2
1345,2730_kM-ID-1,2730_kM-ID-1,K,6
1346,2733_kslowtab-ID-1,2733_kslowtab-ID-1,K,10
1350,2733_kfasttab-ID-1,2733_kfasttab-ID-1,K,10
1351,2733_kA-ID-1,2733_kA-ID-1,K,6
1366,153280_ch_Kdrslow-ID-1,153280_ch_Kdrslow-ID-1,K,1
1368,153280_ch_KvA-ID-1,153280_ch_KvA-ID-1,K,1
1371,153280_ch_KvAdistp-ID-1,153280_ch_KvAdistp-ID-1,K,1
1374,153280_ch_Kdrfast-ID-1,153280_ch_Kdrfast-ID-1,K,1
1377,153280_ch_Kdrp-ID-1,153280_ch_Kdrp-ID-1,K,1
1379,153280_ch_KvAproxp-ID-1,153280_ch_KvAproxp-ID-1,K,1
1390,144376_HH2-ID-1,144376_HH2-ID-1,K,1
1392,3817_IM-ID-1,3817_IM-ID-1,K,5
1403,185355_Kir-ID-1,185355_Kir-ID-1,K,1
1406,185355_Ka-ID-1,185355_Ka-ID-1,K,1
1461,3808_ia-ID-1,3808_ia-ID-1,K,2
1473,180789_km-ID-1,180789_km-ID-1,K,1
1475,180789_kpkj2-ID-1,180789_kpkj2-ID-1,K,1
1477,180789_kv1-ID-1,180789_kv1-ID-1,K,1
1483,180789_erg-ID-1,180789_erg-ID-1,K,1
1491,180789_kpkjslow-ID-1,180789_kpkjslow-ID-1,K,1
1496,180789_khh-ID-1,180789_khh-ID-1,K,1
1498,180789_kpkj-ID-1,180789_kpkj-ID-1,K,1
1499,180789_kd-ID-1,180789_kd-ID-1,K,1
1501,180789_ka-ID-1,180789_ka-ID-1,K,1
1508,195615_kdr_BS-ID-1,195615_kdr_BS-ID-1,K,4
1525,187604_ch_KvAngf-ID-1,187604_ch_KvAngf-ID-1,K,1
1526,195615_kdmc_BS-ID-1,195615_kdmc_BS-ID-1,K,4
1542,195615_kap_BS-ID-1,195615_kap_BS-ID-1,K,4
1551,17663_HH2-ID-1,17663_HH2-ID-1,K,12
1566,3673_spike-ID-1,3673_spike-ID-1,K,5
1603,121060_chan_KIR-ID-1,121060_chan_KIR-ID-1,K,1
1609,121060_chan_inKIR-ID-1,121060_chan_inKIR-ID-1,K,1
1612,121060_chan_KAs-ID-1,121060_chan_KAs-ID-1,K,1
1617,121060_chan_KRP-ID-1,121060_chan_KRP-ID-1,K,1
1627,140249_HH_traub-ID-1,140249_HH_traub-ID-1,K,2
1634,116096_km-ID-1,116096_km-ID-1,K,1
1642,116096_kv-ID-1,116096_kv-ID-1,K,1
1669,85112_kf-ID-1,85112_kf-ID-1,K,1
1670,85112_ks-ID-1,85112_ks-ID-1,K,1
1672,26997_kdr-ID-1,26997_kdr-ID-1,K,1
1692,143635_kht-ID-1,143635_kht-ID-1,K,1
1704,18197_HH-ID-1,18197_HH-ID-1,K,1
1760,114394_Km-ID-1,114394_Km-ID-1,K,2
1761,114394_Kv1-ID-1,114394_Kv1-ID-1,K,1
1765,114394_kv-ID-1,114394_kv-ID-1,K,22
1770,187615_kslow-ID-1,187615_kslow-ID-1,K,1
1773,187615_kfast-ID-1,187615_kfast-ID-1,K,1
1776,3660_kdrneosup-ID-1,3660_kdrneosup-ID-1,K,1
1777,3660_kaneosup-ID-1,3660_kaneosup-ID-1,K,1
1807,8210_kd3h5-ID-1,8210_kd3h5-ID-1,K,1
1811,3263_kdr-ID-1,3263_kdr-ID-1,K,6
1815,187473_im-ID-1,187473_im-ID-1,K,1
1834,64228_Kv-ID-1,64228_Kv-ID-1,K,1
1849,9889_HH_traub-ID-1,9889_HH_traub-ID-1,K,1
1870,150240_IM-ID-1,150240_IM-ID-1,K,1
1880,155735_kpkj_cn-ID-1,155735_kpkj_cn-ID-1,K,1
1881,48332_kpkj2-ID-1,48332_kpkj2-ID-1,K,1
1883,155735_kpkj2_cn-ID-1,155735_kpkj2_cn-ID-1,K,1
1885,155735_kpkjslow_cn-ID-1,155735_kpkjslow_cn-ID-1,K,1
1891,48332_kpkjslow-ID-1,48332_kpkjslow-ID-1,K,1
1892,155735_kpkj-ID-1,155735_kpkj-ID-1,K,1
1893,155735_KMnew2-ID-1,155735_KMnew2-ID-1,K,1
1896,155735_Kh2-ID-1,155735_Kh2-ID-1,K,1
1897,155735_Kh1-ID-1,155735_Kh1-ID-1,K,1
